Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-02-01","1,537","2,255","1.63","4","1,343","97","0","0","269"
"2017-02-02","1,697","4,152","2.92","7","984","169","0","0","486"
"2017-02-03","1,597","2,701","1.85","7","793","127","0","0","342"
"2017-02-04","1,650","4,002","2.98","10","873","113","6","11","405"
"2017-02-05","1,579","2,309","1.65","7","786","122","0","0","318"
"2017-02-06","1,675","3,021","2.11","6","859","162","0","0","452"
"2017-02-07","1,628","3,861","2.91","6","733","115","5","5","379"
"2017-02-08","1,775","5,841","4.46","7","815","167","10","9","569"
"2017-02-09","1,813","5,826","4.06","6","1,205","235","0","0","661"
"2017-02-10","1,966","7,933","5.53","11","1,132","300","5","3","881"
"2017-02-11","1,570","2,567","1.88","5","1,333","107","0","0","309"
"2017-02-12","1,465","988","0.65","0","1,381","59","0","0","156"
"2017-02-13","1,720","4,619","3.43","13","1,272","168","0","0","491"
"2017-02-14","1,684","3,752","2.67","6","1,279","161","0","0","463"
"2017-02-15","1,620","2,846","2.06","5","1,314","126","0","0","376"
"2017-02-16","1,743","3,708","2.6","6","904","160","10","1","525"
"2017-02-17","1,367","272","0.18","0","1,249","18","0","0","48"
"2017-02-18","1,327","0","0","0","1,440","0","0","0","0"
"2017-02-19","1,458","1,556","1.15","1","1,000","63","0","0","170"
"2017-02-20","1,613","3,795","2.87","3","928","120","0","0","366"
"2017-02-21","1,327","0","0","0","1,440","0","0","0","0"
"2017-02-22","1,460","1,293","0.94","1","1,389","51","0","0","163"
"2017-02-23","1,558","2,436","1.77","7","1,337","103","0","0","287"
"2017-02-24","1,629","3,498","2.59","6","1,307","133","0","0","383"
"2017-02-25","1,635","3,426","2.62","13","635","112","0","0","345"
"2017-02-26","1,558","2,055","1.5","6","755","92","0","0","263"
"2017-02-27","1,346","98","0.05","0","1,434","6","0","0","15"
"2017-02-28","1,370","354","0.23","0","1,425","15","0","0","55"
"2017-03-01","1,592","2,815","1.95","5","847","122","0","0","329"
"2017-03-02","1,619","3,415","2.59","7","1,326","114","0","0","357"
"2017-03-03","1,649","3,773","2.83","8","840","133","0","0","395"
"2017-03-04","1,623","2,497","1.75","2","726","133","0","0","360"
"2017-03-05","1,610","3,679","2.82","14","809","103","0","0","331"
"2017-03-06","1,601","3,086","2.24","3","833","125","0","0","349"
"2017-03-07","1,579","3,135","2.13","6","910","114","0","0","320"
"2017-03-08","1,577","2,578","1.86","11","1,337","103","0","0","301"
"2017-03-09","1,624","3,707","2.72","6","1,085","141","0","0","394"
"2017-03-10","1,605","2,822","2.08","8","824","130","0","0","356"
"2017-03-11","1,596","3,489","2.62","12","856","104","0","0","321"
"2017-03-12","1,359","227","0.15","0","991","14","0","0","35"
"2017-03-13","1,327","0","0","0","1,440","0","0","0","0"
"2017-03-14","1,328","4","0","0","1,440","0","0","0","0"
"2017-03-15","1,327","0","0","0","1,440","0","0","0","0"
